"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Robbie Grossman","DET","139","602","510","123","25","3","17","75","60","79","132","6","15","5","",".241",".348",".403",".751",".329","","-0.5","-0.4","","1.8","","191.3","5254"
"Yuli Gurriel","HOU","139","602","540","153","29","1","17","75","78","48","73","5","2","2","",".283",".342",".435",".777",".334","","-0.8","-1.4","","1.8","","210.4","19198"
"Lourdes Gurriel Jr.","TOR","138","595","551","149","31","2","26","74","88","33","121","5","4","3","",".271",".315",".477",".792",".336","","-0.6","-1.4","","1.8","","142.5","19238"
"C.J. Cron","COL","136","588","517","138","30","1","31","77","95","54","129","12","1","0","",".268",".348",".510",".858",".363","","0.1","-1.6","","1.8","","123.7","12546"
"Roberto Pérez","PIT","110","435","381","78","12","1","14","41","46","44","129","4","2","0","",".205",".291",".353",".644",".284","","6.7","-1.2","","1.8","","562.2","2900"
"Manuel Margot","TBR","118","511","463","118","24","3","13","61","58","41","90","2","16","8","",".254",".316",".403",".718",".310","","2.9","0.0","","1.8","","424.6","14712"
"Gavin Lux","LAD","107","462","410","103","19","4","14","61","59","46","101","2","5","2","",".251",".328",".422",".751",".324","","-0.8","0.3","","1.7","","275.0","19955"
"Tommy Pham","CIN","118","511","439","114","21","2","18","68","58","64","115","4","13","5","",".260",".357",".439",".797",".345","","-0.9","0.7","","1.7","","244.4","2967"
"Steven Kwan","CLE","102","441","397","112","19","4","11","55","47","36","53","4","6","3","",".282",".345",".434",".779",".337","","-0.9","-0.5","","1.7","","538.4","sa3008536"
"Austin Nola","SDP","94","378","336","87","18","1","9","41","43","32","65","6","2","1","",".259",".332",".400",".732",".319","","-1.2","-0.4","","1.7","","377.3","15941"
"Brad Miller","TEX","105","455","398","94","16","3","20","57","59","50","128","3","3","1","",".235",".324",".443",".767",".329","","-1.6","-0.8","","1.7","","544.1","12775"
"Jazz Chisholm Jr.","MIA","128","553","499","118","19","5","22","74","62","42","160","6","22","9","",".236",".300",".429",".729",".313","","-2.8","0.8","","1.7","","79.7","20454"
"Travis d'Arnaud","ATL","99","393","354","87","18","0","14","46","51","31","94","3","1","0","",".247",".311",".414",".724",".313","","-1.7","-0.7","","1.7","","227.6","7739"
"Nelson Cruz","WSN","130","560","498","134","20","1","33","78","93","49","129","7","2","0","",".269",".340",".510",".850",".355","","0.0","-1.9","","1.7","","166.5","2434"
"Trey Mancini","BAL","147","637","571","151","32","2","26","81","83","53","141","8","1","0","",".265",".334",".461",".795",".339","","-0.8","-0.7","","1.7","","216.1","15149"
"Jonah Heim","TEX","66","262","240","58","12","0","7","28","28","18","48","2","2","1","",".242",".296",".382",".679",".294","","3.2","-0.4","","1.7","","564.9","16930"
"Jake Meyers","HOU","97","420","379","93","19","1","15","50","52","29","107","6","8","4","",".246",".308",".421",".729",".314","","1.6","-0.2","","1.7","","596.5","20308"
"Adam Duvall","ATL","128","553","503","114","20","3","33","69","100","39","162","7","3","1","",".227",".289",".475",".764",".322","","3.6","-0.7","","1.7","","218.3","10950"
"Isiah Kiner-Falefa","NYY","126","546","503","133","22","3","8","63","49","29","80","8","14","5","",".264",".313",".369",".682",".298","","-0.7","1.0","","1.7","","292.8","16512"
"Cavan Biggio","TOR","113","490","413","93","19","2","16","63","54","68","130","4","8","2","",".226",".338",".401",".739",".323","","-0.4","-0.1","","1.7","","334.7","19252"
"Hunter Renfroe","MIL","133","574","516","121","25","0","34","77","89","48","150","3","3","1","",".234",".301",".482",".783",".331","","1.3","-1.0","","1.7","","162.8","15464"
"Bryson Stott","PHI","115","497","441","109","21","2","13","58","51","48","119","2","8","4","",".248",".322",".395",".717",".312","","1.8","-0.6","","1.7","","459.3","sa3011443"
"Ryan Mountcastle","BAL","146","630","578","152","28","2","31","79","95","40","161","5","4","2","",".263",".313",".478",".792",".335","","-0.1","-0.7","","1.6","","124.3","18373"
"Wilmer Flores","SFG","99","427","386","105","21","1","15","51","54","33","57","4","1","0","",".271",".333",".451",".783",".336","","-2.0","-1.0","","1.6","","453.9","5827"
"Joey Wendle","MIA","109","469","429","112","25","4","9","55","46","26","94","9","9","4","",".261",".315",".401",".716",".308","","1.3","-0.2","","1.6","","441.2","13853"
"Josh Rojas","ARI","122","525","462","114","26","3","12","65","48","54","121","3","13","6","",".247",".327",".395",".722",".315","","-0.1","0.5","","1.6","","262.1","19734"
"Christian Vázquez","BOS","94","371","341","87","17","1","9","40","39","24","68","2","5","3","",".256",".308",".387",".694",".301","","2.3","-1.2","","1.6","","202.9","9774"
"Garrett Cooper","MIA","128","553","488","128","22","2","20","67","69","54","145","8","2","1","",".262",".344",".436",".780",".338","","-1.0","-1.9","","1.6","","533.8","15279"
"Ha-Seong Kim","SDP","92","399","356","86","17","2","12","49","50","33","80","4","10","2","",".241",".311",".403",".714",".309","","0.2","0.8","","1.5","","361.0","27506"
"Luke Voit","SDP","126","546","476","116","20","1","26","71","79","58","151","9","0","0","",".245",".336",".455",".791",".341","","-0.7","-0.9","","1.5","","224.5","14811"
"Miguel Sanó","MIN","151","651","568","130","28","1","39","90","101","73","225","5","2","1","",".228",".319",".487",".806",".342","","-8.3","-1.0","","1.5","","278.9","12164"
"Taylor Walls","TBR","94","406","353","78","18","2","8","45","39","45","108","3","13","6","",".222",".311",".350",".661",".292","","5.3","-0.5","","1.5","","594.9","22458"
"Adolis García","TEX","134","581","542","125","25","3","27","69","83","28","178","7","12","5","",".231",".275",".435",".710",".302","","3.9","-0.7","","1.5","","169.4","19287"
"Nick Senzel","CIN","122","525","473","123","27","4","15","68","57","43","105","3","14","8","",".259",".322",".426",".749",".323","","-0.6","-0.9","","1.5","","384.6","19293"
"Ramón Urías","BAL","105","455","406","101","23","1","12","50","50","38","110","8","3","2","",".248",".322",".400",".722",".315","","-2.1","-0.8","","1.5","","546.4","18795"
"Alex Kirilloff","MIN","112","483","445","120","23","2","19","56","65","30","107","4","4","3","",".269",".320",".455",".775",".330","","0.4","-0.9","","1.4","","185.9","20325"
"Ryan Jeffers","MIN","81","320","286","62","11","1","13","35","38","27","100","5","1","1","",".216",".292",".399",".690",".299","","0.3","-0.7","","1.4","","504.6","24618"
"Austin Hedges","CLE","99","390","354","71","13","0","15","39","46","24","112","4","2","1","",".200",".256",".361",".618",".265","","4.4","-0.4","","1.4","","587.9","12976"
"Jesús Aguilar","MIA","123","532","468","121","22","0","22","61","80","52","106","4","1","0","",".258",".333",".450",".783",".334","","0.2","-1.3","","1.4","","306.8","11342"
"Tommy La Stella","SFG","107","462","416","112","20","2","11","58","49","38","47","4","1","0","",".270",".335",".409",".744",".323","","-3.6","-0.9","","1.4","","566.7","12371"
"Anthony Santander","BAL","130","560","519","132","30","1","25","68","77","30","118","5","2","2","",".255",".300",".462",".762",".323","","0.8","-0.7","","1.4","","325.2","14551"
"Ji-Man Choi","TBR","117","504","424","98","22","1","17","59","63","69","136","5","2","1","",".231",".342",".411",".753",".329","","-1.5","-0.9","","1.4","","584.1","5452"
"Manny Piña","ATL","60","237","210","48","9","0","9","26","32","20","52","5","1","0","",".228",".308",".405",".713",".309","","2.3","-0.6","","1.4","","580.1","2829"
"Patrick Wisdom","CHC","113","490","438","95","17","0","30","63","75","44","179","5","6","2","",".218",".294",".464",".758",".322","","0.4","-0.2","","1.4","","368.3","13602"
"Jarred Kelenic","SEA","118","511","457","105","21","2","22","62","69","45","128","4","11","5","",".231",".303",".433",".736",".315","","-4.5","0.0","","1.4","","147.5","22558"
"Victor Robles","WSN","117","504","441","105","25","2","11","59","46","38","119","17","17","6","",".237",".319",".377",".696",".304","","3.0","0.2","","1.4","","498.8","18363"
"Josh Naylor","CLE","120","518","471","125","26","1","19","62","64","40","90","3","3","1","",".266",".326",".448",".774",".331","","-3.0","-0.4","","1.3","","584.7","18839"
"Tucker Barnhart","DET","96","378","336","77","17","1","7","35","35","34","87","4","1","1","",".229",".305",".343",".648",".285","","3.1","-1.2","","1.3","","502.6","10200"
"César Hernández","WSN","115","497","442","112","20","2","13","63","49","46","97","4","3","1","",".254",".328",".392",".720",".314","","-0.6","-0.2","","1.3","","434.8","10556"
"Didi Gregorius","PHI","113","490","446","110","20","3","18","57","69","32","75","7","4","2","",".247",".303",".427",".731",".312","","-2.8","-0.2","","1.3","","533.4","6012"
"Wil Myers","SDP","144","623","553","133","29","2","23","72","77","62","180","3","11","5","",".240",".318",".424",".742",".320","","-3.3","-0.1","","1.3","","298.8","10047"
"David Peralta","ARI","120","518","470","127","25","5","13","57","64","40","97","4","2","1","",".270",".331",".426",".757",".325","","1.4","-0.3","","1.3","","518.7","2136"
"José Iglesias","COL","126","546","513","150","32","2","9","62","60","21","71","6","6","3","",".291",".326",".418",".744",".321","","-1.1","-0.4","","1.3","","542.2","10231"
"Francisco Mejía","TBR","66","262","238","60","13","2","8","29","31","16","51","5","1","0","",".250",".307",".421",".728",".312","","0.4","-0.2","","1.3","","524.8","16403"
"Yadier Molina","STL","112","444","413","103","18","0","10","42","53","21","74","6","3","0","",".248",".292",".369",".661",".287","","3.3","-1.6","","1.3","","332.0","7007"
"Mike Moustakas","CIN","131","567","506","123","27","1","27","68","84","49","112","7","2","0","",".243",".316",".460",".775",".330","","-4.6","-1.3","","1.3","","403.8","4892"
"Elvis Andrus","OAK","122","525","482","121","24","2","7","56","45","31","80","5","12","4","",".251",".300",".356",".657",".286","","-1.6","1.3","","1.2","","572.7","8709"
"Bobby Dalbec","BOS","121","525","468","109","21","3","29","66","78","42","176","9","3","1","",".232",".306",".476",".782",".331","","0.2","-0.7","","1.2","","219.5","19966"
"Lane Thomas","WSN","117","504","444","105","23","3","17","63","62","51","133","4","11","5","",".238",".320",".421",".742",".320","","1.1","-0.5","","1.2","","291.1","16939"
"Kyle Higashioka","NYY","65","256","235","50","11","0","12","29","36","17","69","2","1","0","",".212",".268",".416",".684",".292","","0.0","-0.3","","1.2","","520.1","5517"
"Joc Pederson","SFG","123","532","471","111","22","3","22","66","70","46","125","10","3","3","",".235",".314",".440",".754",".324","","0.2","-0.8","","1.2","","507.9","11899"
"Kole Calhoun","TEX","110","476","420","96","18","1","20","60","57","46","114","5","3","1","",".229",".311",".424",".735",".316","","1.1","-0.6","","1.2","","545.0","11200"
"Cal Raleigh","SEA","63","250","229","52","13","0","10","27","32","15","62","2","2","1","",".227",".280",".419",".699",".298","","-1.1","-0.1","","1.2","","580.9","21534"
"Andrelton Simmons","CHC","104","448","411","106","18","1","6","46","40","28","56","4","4","1","",".258",".310",".348",".658",".289","","4.9","0.2","","1.2","","591.9","10847"
"LaMonte Wade Jr.","SFG","113","490","424","102","20","3","18","63","56","52","111","7","7","3","",".240",".331",".426",".757",".327","","-2.8","-0.4","","1.2","","420.6","18126"
"Michael A. Taylor","KCR","125","539","492","116","24","2","14","58","55","36","151","4","14","6","",".235",".290",".378",".668",".289","","4.9","0.3","","1.2","","541.9","11489"
"Jonathan Villar","CHC","109","469","420","106","17","2","14","57","47","41","116","3","18","6","",".253",".322",".400",".722",".313","","-3.3","1.3","","1.2","","238.0","10071"
"Evan Longoria","SFG","94","406","365","90","17","1","15","48","53","33","91","4","2","1","",".246",".313",".419",".732",".314","","0.0","-0.6","","1.2","","509.4","9368"
"Martín Maldonado","HOU","115","454","400","78","15","1","13","47","46","43","133","6","1","0","",".195",".281",".337",".618",".273","","3.2","-1.6","","1.2","","575.0","6887"
"Rowdy Tellez","MIL","104","448","402","103","21","1","22","56","63","37","101","6","1","1","",".257",".326",".479",".805",".340","","-0.4","-0.8","","1.2","","363.3","15679"
"Nico Hoerner","CHC","68","294","264","73","14","1","4","32","29","23","44","4","6","3","",".277",".342",".383",".725",".316","","1.9","-0.3","","1.2","","537.4","21479"
"Joey Bart","SFG","94","371","341","81","16","1","11","43","40","20","110","6","2","1","",".238",".290",".387",".677",".293","","-0.7","-0.4","","1.2","","270.0","21524"
"Eddie Rosario","ATL","113","490","455","123","22","2","22","67","72","28","74","1","8","3","",".270",".311",".472",".783",".331","","-0.9","0.2","","1.2","","181.4","12155"
"Brandon Marsh","LAA","115","497","444","109","20","4","10","51","43","45","148","3","9","3","",".245",".318",".376",".693",".304","","3.4","0.8","","1.2","","429.5","20202"
"Tom Murphy","SEA","75","294","261","56","10","1","11","31","36","28","92","2","1","1","",".214",".294",".391",".684",".297","","-0.4","-0.4","","1.1","","551.4","13499"
"Nick Ahmed","ARI","107","462","419","101","25","3","9","50","48","35","96","3","6","2","",".241",".300",".381",".682",".295","","2.2","0.3","","1.1","","592.8","12147"
"Frank Schwindel","CHC","118","511","473","126","26","1","24","68","75","28","90","4","2","1","",".267",".311",".482",".792",".335","","0.0","-0.8","","1.1","","243.0","15351"
"Willie Calhoun","TEX","115","497","450","117","21","3","19","61","60","38","72","4","2","1","",".261",".323",".450",".773",".331","","-2.0","-1.3","","1.1","","488.4","17838"
"Taylor Ward","LAA","83","357","312","77","18","1","13","45","42","37","90","5","4","2","",".247",".335",".433",".768",".332","","-1.9","0.0","","1.1","","600.7","17548"
"Austin Slater","SFG","73","315","275","68","14","2","9","39","34","32","84","5","11","3","",".247",".335",".412",".748",".325","","0.7","1.0","","1.1","","582.4","16153"
"Kevin Smith","OAK","92","399","362","81","17","2","16","45","48","28","112","4","9","3","",".223",".284",".414",".698",".299","","-0.7","0.2","","1.1","","529.4","20242"
"Alec Bohm","PHI","83","357","321","84","15","1","11","42","43","29","84","2","4","1","",".262",".325",".417",".742",".321","","-0.4","-0.4","","1.1","","368.1","21618"
"J.D. Davis","NYM","73","315","276","70","14","1","11","37","37","31","83","5","2","0","",".254",".339",".429",".767",".332","","-2.1","-0.4","","1.1","","537.5","16219"
"Kevin Plawecki","BOS","62","243","218","57","13","1","5","26","27","19","41","4","1","0","",".261",".330",".402",".732",".320","","-1.6","-0.6","","1.1","","587.0","13807"
"Jason Heyward","CHC","87","378","335","82","14","2","11","43","41","37","73","3","5","1","",".245",".323",".396",".720",".313","","1.3","0.5","","1.1","","596.3","4940"
"Nick Pratto","KCR","79","343","299","73","15","3","16","43","45","34","98","4","5","2","",".243",".324",".471",".795",".338","","0.9","-0.1","","1.1","","563.8","sa3004138"
"Josh Harrison","CHW","94","406","369","95","19","1","8","44","41","23","60","10","6","3","",".259",".317",".381",".698",".305","","-0.7","-0.6","","1.0","","398.3","8202"
"Chad Pinder","OAK","86","371","337","83","19","1","13","45","45","26","91","4","2","1","",".246",".306",".424",".729",".314","","-0.5","-0.7","","1.0","","578.7","15191"
"Gary Sánchez","MIN","112","456","397","82","16","1","23","56","63","49","126","7","1","0","",".208",".303",".424",".728",".313","","-3.6","-0.9","","1.0","","244.4","11442"
"Elias Díaz","COL","91","358","325","86","17","1","12","44","43","27","60","2","1","0","",".263",".323",".434",".757",".325","","-1.5","-0.5","","1.0","","225.9","11680"
"Kyle Farmer","CIN","100","434","397","101","20","2","12","46","50","21","85","11","3","2","",".254",".306",".403",".709",".306","","0.1","-0.5","","1.0","","539.1","14813"
"Cristian Pache","OAK","123","532","489","108","25","2","15","59","54","34","149","4","8","6","",".221",".276",".373",".648",".281","","4.4","-1.2","","1.0","","566.8","19948"
"Luis García","WSN","83","357","333","90","19","2","12","42","43","19","60","1","2","2","",".269",".309",".441",".750",".320","","-2.8","-0.7","","1.0","","583.5","20391"
"Randal Grichuk","COL","128","553","513","136","30","3","27","70","84","31","115","4","2","2","",".265",".310",".491",".800",".338","","-4.7","-0.9","","1.0","","306.3","10243"
"Seth Brown","OAK","110","476","434","100","23","3","22","57","66","33","140","3","5","2","",".229",".286",".443",".729",".308","","1.4","-0.4","","1.0","","518.3","18171"
"Austin Barnes","LAD","55","218","190","42","8","0","6","26","23","21","53","4","2","1","",".219",".307",".356",".663",".292","","0.5","-0.1","","1.0","","591.8","12158"
"James McCann","NYM","96","378","344","80","14","1","10","37","42","26","106","4","2","1","",".233",".293",".370",".662",".288","","-0.1","-0.8","","1.0","","383.0","12859"
"Jurickson Profar","SDP","120","518","451","109","24","2","12","62","55","53","79","8","11","4","",".241",".328",".386",".714",".313","","-2.7","0.4","","0.9","","559.0","10815"
"Kevin Newman","PIT","120","518","478","127","24","3","7","54","47","29","49","3","8","3","",".265",".310",".373",".683",".296","","-1.0","0.0","","0.9","","595.9","17696"
"Yan Gomes","CHC","65","257","235","58","11","1","9","30","33","16","57","3","1","0","",".248",".303",".417",".719",".307","","0.7","-0.4","","0.9","","488.1","9627"
"Tyrone Taylor","MIL","75","322","291","70","14","2","13","39","43","22","75","5","5","1","",".239",".301",".431",".732",".314","","1.8","0.2","","0.9","","544.8","13675"
"Odúbel Herrera","PHI","73","315","288","76","16","1","10","38","36","20","54","4","4","1","",".264",".317",".428",".745",".320","","-1.9","0.1","","0.9","","590.2","11476"
"Yu Chang","CLE","81","350","320","76","17","2","13","41","45","22","95","4","3","2","",".237",".293",".422",".714",".306","","1.1","-0.4","","0.9","","597.2","14773"
"Daniel Vogelbach","PIT","79","343","283","66","13","0","14","45","40","55","77","2","1","0","",".232",".358",".427",".786",".344","","-0.1","-1.0","","0.9","","587.8","14130"
"Gavin Sheets","CHW","81","350","316","80","15","0","16","44","52","27","80","2","1","1","",".254",".316",".458",".775",".331","","0.0","-0.6","","0.9","","538.7","19901"
"Christian Walker","ARI","125","539","482","120","27","2","19","67","68","47","133","6","2","1","",".248",".320",".433",".753",".324","","1.6","0.0","","0.9","","524.8","13419"
"Jordan Luplow","ARI","79","343","295","69","16","1","14","44","44","42","87","4","4","3","",".234",".335",".441",".776",".336","","0.5","-0.6","","0.9","","600.6","16424"
"Andrew McCutchen","MIL","138","595","506","118","23","1","23","77","77","78","138","5","6","2","",".233",".338",".422",".760",".331","","-0.7","-1.1","","0.9","","321.7","9847"
"Andrew Vaughn","CHW","78","336","297","75","16","0","13","41","40","30","72","6","1","1","",".251",".329",".443",".772",".333","","-0.1","-0.7","","0.9","","285.6","26197"
"Darin Ruf","SFG","97","420","367","90","18","1","17","50","53","45","115","5","2","1","",".245",".332",".438",".770",".331","","-0.2","-0.8","","0.9","","469.0","9929"
"Jo Adell","LAA","130","560","516","124","23","4","25","64","83","34","159","5","8","3","",".240",".292",".445",".736",".314","","-3.0","-0.2","","0.8","","210.8","20220"
"Matt Vierling","PHI","81","350","316","78","14","2","10","40","38","24","82","4","6","2","",".247",".306",".397",".703",".304","","2.2","0.1","","0.8","","575.2","21558"
"Jose Trevino","NYY","60","237","222","53","12","0","5","24","25","10","45","1","1","1","",".240",".273",".365",".638",".274","","1.0","-0.6","","0.8","","599.4","16725"
"Chas McCormick","HOU","63","273","241","57","9","1","9","32","32","25","73","3","5","2","",".236",".312",".393",".706",".307","","2.3","-0.2","","0.8","","527.2","19599"
"Pavin Smith","ARI","109","469","421","111","22","3","12","56","48","40","87","3","2","1","",".264",".329",".418",".747",".323","","-0.3","-0.8","","0.8","","507.1","19892"
"Carter Kieboom","WSN","68","294","255","61","11","1","9","35","33","31","67","6","1","1","",".240",".333",".391",".725",".317","","-0.9","-0.5","","0.8","","576.2","19958"
"Tomás Nido","NYM","60","237","222","49","10","1","6","23","25","10","62","3","1","0","",".221",".261",".354",".615",".264","","1.2","-0.4","","0.8","","600.8","13755"
"Seth Beer","ARI","96","413","363","93","20","0","16","52","50","30","90","16","1","1","",".257",".338",".445",".783",".338","","-0.5","-0.7","","0.8","","556.4","20493"
"Jake Fraley","CIN","63","273","234","57","12","1","11","34","39","32","74","4","9","3","",".242",".338",".445",".783",".337","","-1.3","0.1","","0.8","","530.1","19260"
"Santiago Espinal","TOR","78","336","306","79","16","1","5","37","31","24","53","2","6","3","",".259",".316",".367",".684",".299","","1.3","-0.3","","0.8","","575.9","19997"
"Jose Barrero","CIN","53","231","208","52","11","1","7","28","29","15","57","4","5","2","",".248",".310",".415",".726",".313","","0.4","0.3","","0.8","","543.0","23378"
"Edmundo Sosa","STL","50","217","198","50","8","2","5","24","22","10","44","7","3","2","",".254",".310",".389",".698",".303","","1.2","-0.4","","0.7","","538.5","17022"
"Thairo Estrada","SFG","57","245","225","59","11","1","8","31","29","14","46","4","3","1","",".261",".314",".420",".734",".316","","-1.3","0.0","","0.7","","599.3","16426"
"MJ Melendez","KCR","50","210","186","46","10","1","10","27","28","19","50","1","1","1","",".246",".318",".466",".785",".335","","0.1","-0.4","","0.7","","485.8","sa3004139"
"Carlos Santana","KCR","115","497","422","99","18","0","16","59","56","68","80","3","2","0","",".236",".343",".394",".738",".323","","-0.3","-0.6","","0.7","","537.8","2396"
"Jason Castro","HOU","40","160","136","29","6","0","6","19","17","20","50","2","0","0","",".213",".319",".388",".707",".311","","-0.8","-0.4","","0.7","","599.9","8722"
"Ben Gamel","PIT","117","504","435","107","25","3","10","56","43","59","129","4","6","5","",".245",".339",".384",".723",".317","","-1.5","-1.1","","0.7","","585.3","12160"
"Leury García","CHW","86","371","338","88","15","2","6","42","36","23","79","3","6","2","",".259",".311",".371",".682",".298","","-1.3","0.3","","0.7","","560.0","5913"
"Kyle Lewis","SEA","76","329","294","70","13","0","12","38","38","31","96","2","3","1","",".239",".313",".407",".719",".312","","0.0","-0.1","","0.7","","465.7","19508"
"Reese McGuire","CHW","39","154","139","33","7","0","4","17","14","11","32","1","1","0","",".236",".295",".373",".668",".290","","0.4","0.0","","0.7","","600.2","15674"
"Tyler Naquin","CIN","113","490","449","116","25","2","18","59","66","31","117","5","5","3","",".259",".312",".442",".755",".322","","-0.3","-0.5","","0.7","","383.5","13359"
"Bobby Bradley","CLE","105","455","406","87","17","1","25","55","65","38","160","6","1","0","",".213",".288",".447",".735",".312","","2.1","-0.8","","0.7","","528.8","17278"
"Bryan De La Cruz","","62","266","243","65","11","1","7","29","28","18","60","2","2","2","",".267",".321",".413",".734",".316","","-0.8","-0.5","","0.7","","566.9","19600"
"Charlie Blackmon","COL","138","595","532","148","28","4","19","84","73","48","101","8","3","2","",".278",".345",".451",".796",".342","","-1.3","-0.8","","0.7","","238.1","7859"
"Nick Solak","TEX","73","315","283","73","13","1","9","37","35","24","65","6","4","2","",".258",".326",".402",".727",".317","","-2.1","0.0","","0.7","","522.9","19294"
"Victor Reyes","DET","52","224","210","57","11","3","5","27","22","11","48","1","6","2","",".272",".309",".414",".722",".310","","0.3","0.2","","0.7","","593.5","15487"
"Rougned Odor","BAL","78","336","301","64","14","1","16","41","45","27","95","5","3","2","",".213",".287",".424",".711",".304","","-1.1","-0.5","","0.7","","532.3","12282"
"Michael Hermosillo","CHC","57","245","214","49","9","1","10","32","31","20","74","8","5","2","",".227",".314",".422",".735",".319","","0.2","0.0","","0.7","","599.0","16285"
"Jose Miranda","","49","210","193","53","11","0","7","27","27","11","29","3","1","1","",".276",".324",".451",".774",".331","","0.2","-0.2","","0.7","","487.7","sa917952"
"Triston Casas","BOS","60","259","227","58","12","1","10","35","32","26","58","2","3","1","",".253",".333",".448",".781",".336","","0.2","-0.1","","0.7","","549.2","sa3007634"
"Steven Duggar","SFG","66","287","258","62","14","3","6","33","29","25","84","2","6","2","",".239",".309",".383",".692",".299","","0.5","0.3","","0.7","","599.2","17719"
"Aristides Aquino","CIN","102","441","390","87","15","1","25","57","69","42","137","5","6","2","",".224",".305",".464",".769",".326","","-0.2","-0.1","","0.7","","590.9","15482"
"Ben Rortvedt","NYY","37","147","133","28","5","0","5","16","16","11","40","2","0","0","",".215",".281",".365",".646",".281","","1.6","-0.1","","0.6","","999.0","20287"
"Curt Casali","SFG","65","256","224","49","10","0","7","25","27","26","71","3","1","0","",".218",".306",".356",".662",".289","","-0.8","-0.4","","0.6","","592.3","12510"
"Matt Duffy","LAA","55","238","212","57","9","0","3","27","22","20","45","4","4","1","",".269",".341",".366",".706",".313","","-1.5","-0.3","","0.6","","586.5","13836"
"Gabriel Arias","CLE","37","161","148","38","8","1","4","19","17","10","39","2","1","0","",".259",".308",".410",".718",".310","","0.2","0.0","","0.6","","600.8","sa3004047"
"Sheldon Neuse","OAK","65","280","257","62","12","1","7","30","29","18","78","2","3","1","",".240",".292",".380",".673",".292","","0.1","-0.1","","0.6","","999.0","19635"
"Rafael Ortega","CHC","79","343","306","76","15","2","10","43","35","32","73","2","10","4","",".248",".321",".405",".727",".316","","-0.2","-0.1","","0.6","","394.5","10323"
"Abraham Toro","SEA","34","147","130","32","7","0","5","18","17","13","25","3","2","1","",".249",".328",".412",".739",".322","","-0.1","-0.2","","0.6","","393.6","19844"
"Connor Joe","COL","76","329","282","73","16","1","12","44","41","39","69","5","2","1","",".259",".354",".444",".798",".346","","0.5","-0.4","","0.6","","349.2","16572"
"Nolan Gorman","STL","32","140","130","33","6","0","5","16","17","8","31","1","1","0","",".253",".299",".433",".732",".312","","0.8","0.0","","0.6","","547.0","sa3007017"
"Hunter Dozier","KCR","100","434","388","92","20","4","15","48","49","38","117","4","4","2","",".236",".308",".425",".733",".315","","-2.5","-0.7","","0.6","","471.6","15117"
"Eric Hosmer","SDP","120","518","469","123","23","1","15","57","66","40","103","4","4","3","",".262",".324",".410",".734",".317","","-1.1","-1.6","","0.6","","503.3","3516"
"Kyle Isbel","KCR","53","231","209","52","11","2","6","28","24","17","52","3","7","2","",".250",".313",".406",".719",".310","","0.2","0.4","","0.6","","559.6","21614"
"Dominic Smith","NYM","96","413","374","95","21","1","13","47","55","29","95","6","2","1","",".254",".315",".422",".737",".317","","-1.4","-0.8","","0.5","","458.2","15653"
"Vidal Bruján","","39","168","152","36","8","1","3","20","17","13","31","1","11","3","",".238",".301",".366",".667",".292","","0.4","0.9","","0.5","","462.8","20536"
"Oscar Mercado","CLE","49","210","188","46","10","1","5","25","21","16","41","3","7","2","",".242",".310",".391",".701",".305","","1.2","0.6","","0.5","","594.0","16375"
"Johan Camargo","PHI","36","154","139","36","7","1","6","19","19","12","32","1","0","0","",".256",".320",".438",".757",".325","","-0.2","-0.2","","0.5","","600.9","14950"
"Brett Gardner","","75","322","277","63","12","3","8","36","31","37","73","3","4","1","",".226",".321",".371",".691",".305","","-0.3","0.3","","0.5","","598.6","9927"
"Jorge Mateo","BAL","99","427","400","94","21","5","10","45","41","19","114","4","15","6","",".236",".277",".387",".664",".285","","-1.2","0.1","","0.5","","408.9","17273"
"Dom Nuñez","COL","66","262","227","46","10","2","10","31","31","31","84","2","1","1","",".203",".301",".399",".701",".301","","-0.5","-0.2","","0.5","","590.8","15055"
"Aledmys Díaz","HOU","42","182","165","41","9","0","5","20","23","11","33","3","1","0","",".251",".310",".406",".716",".308","","0.1","-0.3","","0.5","","582.7","15937"
"Mauricio Dubón","SFG","39","168","154","40","7","1","4","19","17","10","29","1","3","1","",".260",".310",".395",".705",".304","","0.3","-0.2","","0.5","","596.6","16530"
"Cooper Hummel","ARI","42","182","153","37","7","2","6","23","20","23","44","3","2","1","",".240",".349",".414",".764",".334","","0.1","-0.2","","0.5","","999.0","sa918412"
"Yoshi Tsutsugo","PIT","123","532","459","105","22","1","20","62","65","62","130","3","1","1","",".229",".323",".411",".734",".318","","-0.1","-0.9","","0.5","","462.9","27459"
"Dylan Moore","SEA","55","238","209","44","9","1","8","27","26","22","67","5","12","4","",".209",".296",".373",".669",".294","","0.0","0.4","","0.5","","538.3","18042"
"Diego Castillo","PIT","84","364","329","82","18","1","9","39","35","27","50","3","5","2","",".248",".309",".385",".694",".302","","-0.7","-0.2","","0.5","","599.6","sa872839"
"Starlin Castro","","45","196","181","49","10","1","4","20","23","12","35","1","1","1","",".272",".317",".407",".724",".311","","-1.0","-0.3","","0.5","","600.3","4579"
"Alek Thomas","ARI","29","126","114","30","6","2","3","15","14","10","27","1","2","1","",".263",".326",".430",".756",".326","","0.1","-0.2","","0.5","","576.9","sa3006892"
