tm,w_us,o_u_wins_this_year,diff,edge,fund_risk
LAD,105,96.5,8.5,0.088,0.004
MIL,80,88.5,-8.5,0.096,0.005
CHW,83,91.5,-8.5,0.093,0.005
ATL,99,90.5,8.5,0.094,0.005
PHI,77,85.5,-8.5,0.099,0.005
LAA,75,83.5,-8.5,0.102,0.005
TOR,99,91.5,7.5,0.082,0.004
CLE,84,76.5,7.5,0.098,0.005
DET,86,78.5,7.5,0.096,0.005
COL,60,67.5,-7.5,0.111,0.01
CHC,68,75.5,-7.5,0.099,0.005
SEA,78,84.5,-6.5,0.077,0.004
SDP,95,88.5,6.5,0.073,0.004
HOU,97,91.5,5.5,0.06,0.004
NYY,97,91.5,5.5,0.06,0.004
STL,80,85.5,-5.5,0.064,0.004
ARI,72,66.5,5.5,0.083,0.004
MIA,72,76.5,-4.5,0.059,0.002
