tm,r,ra
SFG,9.29,-111.43
LAD,-25.02,-118.2
TBR,-64.91,-66.12
MIL,-31.63,-31.61
HOU,-21.99,-97.65
CHW,-25.6,-60.88
BOS,-13.69,-39.65
NYY,15.8,-14.69
TOR,1.08,-106.98
STL,1.81,-15.98
SEA,-36.47,52.83
ATL,-16.16,-63.71
OAK,-15.55,-24.29
CIN,-4.3,-12.17
PHI,-13.54,22.96
CLE,-32.46,19.61
SDP,-15.83,-5.52
DET,-18.12,32.33
NYM,18.53,15.37
LAA,-23.81,75.66
COL,-20.71,45.65
KCR,-14.75,67.52
MIN,17.7,65.16
CHC,-12.13,75.78
MIA,-7.61,43.61
WSN,28.32,42.63
PIT,8.08,108.87
TEX,-4.16,112.35
BAL,21.99,163.05
ARI,-12,117.78
